TrialID,Date registration3
NCT03558568,20180528
NCT03800108,20180523
NCT03562403,20180522
NCT03593512,20180522
IRCT20101026005026N8,20180507
NCT03874611,20180430
DRKS00014614,20180420
NCT03548506,20180418
NCT03540134,20180411
NCT03462082,20180305
NL-OMON46346,20180207
NCT03446833,20180122
DRKS00013789,20180122
NCT03409120,20180113
JPRN-UMIN000030592,20171227
JPRN-UMIN000030460,20171219
NCT03422757,20171215
ChiCTR-ONN-17013806,20171210
NCT03377569,20171129
JPRN-UMIN000029958,20171120
NCT03363724,20171119
NCT03528460,20171114
NCT03347240,20171112
NCT03353688,20170926
NCT03270657,20170831
JPRN-UMIN000028596,20170829
NCT03273816,20170828
NCT03267550,20170823
NL-OMON19892,20170809
DRKS00012379,20170731
NCT03234478,20170725
NCT03230331,20170724
DRKS00012667,20170724
NCT03227250,20170720
NCT03212885,20170707
NCT03958617,20170626
NL-OMON22973,20170623
ChiCTR-OOC-17011684,20170617
NCT03181282,20170605
NCT03156517,20170515
ChiCTR-ORC-17011398,20170514
NCT03088592,20170302
NCT03079960,20170228
NCT03079037,20170224
NCT03128567,20170223
NCT03051178,20170209
DRKS00011748,20170209
NCT03037398,20170112
NCT03021031,20170109
NCT03017586,20170105
NCT03004573,20161221
NCT03204526,20161209
NCT02989610,20161208
NL-OMON42986,20161130
NCT02982512,20161128
NCT02982304,20161114
NCT02975193,20161110
NCT02963259,20161110
NCT02960243,20161105
NCT02947841,20161024
NCT02937688,20161017
NCT02937727,20161013
EUCTR2016-001378-13-DE,20161013
JPRN-UMIN000024301,20161007
NCT02911103,20160921
NCT02907723,20160908
NCT02885194,20160826
NCT02894567,20160824
JPRN-UMIN000022646,20160728
NCT02835274,20160624
NCT02794233,20160527
NCT02795663,20160526
NCT02765282,20160427
NCT03078816,20160426
NL-OMON26420,20160423
NCT02823158,20160418
JPRN-UMIN000021957,20160418
NCT02712515,20160315
NCT02686125,20160210
NCT02678429,20160205
NCT02649166,20160106
NCT02994719,20151221
NL-OMON41322,20151218
NCT02641366,20151214
JPRN-UMIN000020030,20151202
NCT02647372,20151110
NCT02585154,20151008
NCT02569021,20151002
NCT02619084,20151002
NCT02589925,20150928
NCT02583074,20150923
